molecule_chembl_id,canonical_smiles,standard_value
CHEMBL185238,Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,16000.0
CHEMBL371694,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,900.0
CHEMBL200259,OCc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1,1585.0
CHEMBL68215,Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,339.0
CHEMBL200863,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,13.0
CHEMBL381447,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,14.0
CHEMBL426476,CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,40.0
CHEMBL200889,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,6.0
CHEMBL200320,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1,8.0
CHEMBL200118,Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl,33.0
CHEMBL371952,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl,13.0
CHEMBL381250,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl,6.0
CHEMBL200172,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,12.0
CHEMBL373011,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,10.0
CHEMBL200114,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,3500.0
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,46.0
CHEMBL274738,CC(=O)Nc1cccc(-c2cncc(NCc3ccc(F)c(Cl)c3)n2)c1,99000.0
CHEMBL199588,CC(=O)Nc1cccc(-c2cncc(NCc3ccoc3)n2)c1,33000.0
CHEMBL440761,CC(=O)Nc1cccc(-c2cncc(NCc3cccc(F)c3)n2)c1,8000.0
CHEMBL199892,COc1cc(CNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,100000.0
CHEMBL198400,COc1ccc(OCCNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1,58000.0
CHEMBL200964,CC(=O)Nc1cccc(-c2cncc(NCCOc3ccccc3)n2)c1,65000.0
CHEMBL200130,CC(=O)Nc1cccc(-c2cncc(NCCCc3ccccc3)n2)c1,100000.0
CHEMBL372149,CC(=O)Nc1cccc(-c2cncc(NCCc3ccccc3)n2)c1,45000.0
CHEMBL199800,CC(=O)Nc1cccc(-c2cncc(NCc3ccccc3)n2)c1,18000.0
CHEMBL433992,CC(=O)Nc1cccc(-c2cncc(NCc3ccccn3)n2)c1,100000.0
CHEMBL382262,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)[nH]n3)n2)c1,14000.0
CHEMBL201625,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)on3)n2)c1,4200.0
CHEMBL201576,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCO4)n2)c1,3800.0
CHEMBL370112,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCCO4)n2)c1,34000.0
CHEMBL381275,CC(=O)Nc1cccc(-c2cncc(Nc3nc(C(C)(C)C)cs3)n2)c1,20000.0
CHEMBL199948,CC(=O)Nc1cccc(-c2cncc(Nc3cc(Cl)nc(Cl)c3)n2)c1,950.0
CHEMBL199811,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)C(=O)OC4)n2)c1,740.0
CHEMBL199605,CC(=O)Nc1cccc(-c2cncc(Nc3cccc4c3OC(F)(F)C(F)(F)O4)n2)c1,100000.0
CHEMBL200075,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)O4)n2)c1,37000.0
CHEMBL373242,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)n2)c1,39000.0
CHEMBL199281,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCCO4)n2)c1,4500.0
CHEMBL199833,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCO4)n2)c1,5400.0
CHEMBL371958,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCO4)n2)c1,10000.0
