molecule_chembl_id,class,canonical_smiles,pIC50
CHEMBL185238,inactive,Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,4.795880017344075
CHEMBL371694,active,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,6.045757490560675
CHEMBL200259,intermediate,OCc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1,5.79997073344623
CHEMBL68215,active,Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,6.4698003017969175
CHEMBL200863,active,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,7.886056647693163
CHEMBL381447,active,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,7.853871964321762
CHEMBL426476,active,CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,7.3979400086720375
CHEMBL200889,active,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,8.221848749616356
CHEMBL200320,active,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1,8.096910013008056
CHEMBL200118,active,Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl,7.481486060122112
CHEMBL371952,active,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl,7.886056647693163
CHEMBL381250,active,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl,8.221848749616356
CHEMBL200172,active,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,7.920818753952375
CHEMBL373011,active,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,8.0
CHEMBL200114,intermediate,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,5.455931955649724
CHEMBL1336,active,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.337242168318426
CHEMBL274738,inactive,CC(=O)Nc1cccc(-c2cncc(NCc3ccc(F)c(Cl)c3)n2)c1,4.00436480540245
CHEMBL199588,inactive,CC(=O)Nc1cccc(-c2cncc(NCc3ccoc3)n2)c1,4.481486060122113
CHEMBL440761,intermediate,CC(=O)Nc1cccc(-c2cncc(NCc3cccc(F)c3)n2)c1,5.096910013008056
CHEMBL199892,inactive,COc1cc(CNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,4.0
CHEMBL198400,inactive,COc1ccc(OCCNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1,4.236572006437063
CHEMBL200964,inactive,CC(=O)Nc1cccc(-c2cncc(NCCOc3ccccc3)n2)c1,4.187086643357144
CHEMBL200130,inactive,CC(=O)Nc1cccc(-c2cncc(NCCCc3ccccc3)n2)c1,4.0
